NO,DPRTM_CHRG,CORP_NM,ADDRESS,TRGT_YEAR,DSGN_CLSF,DSGN_INDS,GHG_EMS,GHG_UNIT,GHG_EMS_BU,GHG_EMS_BU_UNIT,ENG_CNSM,ENG_UNIT,ENG_CNSM_BU,ENG_CNSM_BU_UNIT,VRFCT_AGNCY,TST
411,환경부,문경시 하수도사업소,경상북도 문경시 영신영강길 200 (영신동),2017,사업장,하수처리업,"25,387",tCO₂eq,-,-,129,TJ,-,-,(재)한국화학융합시험연구원,-
412,국토교통부,문화방송,서울특별시 마포구 성암로 267 (상암동),2017,사업장,건물,"18,023",tCO₂eq,-,-,383,TJ,-,-,(주)한국경영인증원,-
413,산업통상자원부,미래나노텍(주),충청북도 청주시 흥덕구 옥산면 과학산업1로 16,2017,사업장,반도체.디스플레이.전기전자,"18,541",tCO₂eq,-,-,362,TJ,-,-,(주)한국경영인증원,-
414,산업통상자원부,미쓰이케미칼앤드에스케이씨폴리우레탄 주식회사,울산광역시 남구 용잠로 255 (고사동),2017,사업장,석유화학,"19,162",tCO₂eq,-,-,457,TJ,-,-,한국표준협회,-
415,산업통상자원부,미원스페셜티케미칼주식회사,전라북도 완주군 봉동읍 완주산단1로 167,2017,사업장,석유화학,"13,681",tCO₂eq,-,-,514,TJ,-,-,이큐에이㈜,-
416,산업통상자원부,바스프컬러스앤이펙츠코리아(주),울산광역시 남구 장생포로 196 (여천동),2017,사업장,석유화학,"14,776",tCO₂eq,-,-,512,TJ,-,-,(재)한국품질재단,-
417,산업통상자원부,발레오전장시스템스코리아(주),경상북도 경주시 공단로69번길 52 (황성동),2017,사업장,자동차,"13,913",tCO₂eq,-,-,284,TJ,-,-,(주)비에스아이그룹코리아,-
418,산업통상자원부,백광산업 주식회사,전라북도 군산시 임해로 494-16,2017,업체,석유화학,"195,048",tCO₂eq,134.53,tCO2eq/억원,"3,881",TJ,2.68,TJ/억원,한국표준협회,"144,980,616,000"
419,산업통상자원부,버슘머트리얼즈코리아 주식회사,경기도 시흥시  협력로 143 에어프로덕츠코리아(주),2017,업체,석유화학,"3,411",tCO₂eq,-,-,67,TJ,-,-,로이드인증원㈜,"137,776,115,687"
420,산업통상자원부,버슘머트리얼즈피엠코리아,울산광역시 남구 용연로98번길 48 (성암동),2017,사업장,석유화학,"29,170",tCO₂eq,-,-,600,TJ,-,-,로이드인증원㈜,-
421,환경부,베올리아워터자원개발 주식회사,충청남도 당진시 송악읍 북부산업로 1228 동부제철,2017,사업장,수도,"10,773",tCO₂eq,-,-,221,TJ,-,-,(재)한국품질재단,-
422,환경부,베올리아워터코리아대산(주),충청남도 서산시 대산읍 독곳1로 82,2017,사업장,수도,"88,039",tCO₂eq,-,-,"1,801",TJ,-,-,(주)한국경영인증원,-
423,산업통상자원부,별내에너지,경기도 남양주시 별내3로 391,2017,사업장,집단에너지,"103,354",tCO₂eq,-,-,"2,048",TJ,-,-,환경보전협회,-
424,국토교통부,보영운수(주),경기도 안양시 만안구 창박로 46,2017,사업장,교통(여객),"20,997",tCO₂eq,-,-,330,TJ,-,-,한국표준협회,-
425,산업통상자원부,볼보그룹코리아(주),경상남도 창원시 성산구 두산볼보로 160 (귀현동),2017,사업장,기계,"22,942",tCO₂eq,-,-,437,TJ,-,-,한국표준협회,-
