,TRGT_YEAR,GHG_EMS
221,2016,39486
222,2016,17931
223,2016,20544
224,2016,36219
225,2016,19586
226,2016,60116
227,2016,26838
228,2016,35253
229,2016,105639
230,2016,52367
231,2016,25146
232,2016,104522
233,2016,23284
234,2016,96823
235,2016,29513
236,2016,3363119
237,2016,21968
238,2016,124912
239,2016,17464
240,2016,28858
241,2016,220227
242,2016,56886
243,2016,66172
244,2016,18770
245,2016,812324
246,2016,18171
247,2016,78166
248,2016,137217
249,2016,242758
250,2016,75202
251,2016,135989
252,2016,18576
253,2016,17182
254,2016,20234
255,2016,22376
256,2016,114961
257,2016,3173174
258,2016,45059
259,2016,184378
260,2016,92681
261,2016,3089075
262,2016,312105
263,2016,290289
264,2016,772738
265,2016,770023
266,2016,76655
267,2016,772785
268,2016,184520
269,2016,440058
270,2016,338
271,2016,92757
272,2016,96493
273,2016,81470
274,2016,39357
275,2016,15432
276,2016,204065
277,2016,11939
278,2016,423474
279,2016,38285
280,2016,99195
281,2016,28427
282,2016,54109
283,2016,1290483
284,2016,1003737
285,2016,94501
286,2016,837758
287,2016,49097
288,2016,71882
289,2016,84402
290,2016,32469
291,2016,29662
292,2016,49226
293,2016,213811
294,2016,44061
295,2016,516058
296,2016,27087
297,2016,782664
298,2016,125783
299,2016,16680
300,2016,55224
301,2016,20351
302,2016,136492
303,2016,19912
304,2016,14695
305,2016,402695
306,2016,29017
307,2016,20862
308,2016,53092
309,2016,600780
310,2016,18357
311,2016,245408
312,2016,22308
313,2016,28203
314,2016,16563
315,2016,31991
316,2016,209084
317,2016,23361
318,2016,32386
319,2016,83689
320,2016,1165438
321,2016,36851
322,2016,482778
323,2016,77387
324,2016,19866
325,2016,213215
326,2016,18795
327,2016,675003
328,2016,50210
329,2016,14910
330,2016,46645
331,2016,475727
332,2016,182945
333,2016,39238
334,2016,1894882
335,2016,18688
336,2016,3675993
337,2016,19593
338,2016,12331
339,2016,130601
340,2016,278244
341,2016,356449
342,2016,139085
343,2016,21817
344,2016,15956
345,2016,19097
346,2016,7446270
347,2016,260116
348,2016,17842
349,2016,28779
350,2016,402843
351,2016,97705
352,2016,17911
353,2016,8098
354,2016,255819
355,2016,19250
356,2016,24937
357,2016,117632
358,2016,23788
359,2016,41808
360,2016,24058
361,2016,32477
362,2016,87413
363,2016,269221
364,2016,29426
365,2016,1175224
366,2016,22108
367,2016,48740
368,2016,38022
369,2016,24001
370,2016,134682
371,2016,833855
372,2016,94454
373,2016,351226
374,2016,654859
375,2016,16082
376,2016,131361
377,2016,386453
378,2016,146155
379,2016,5689231
380,2016,106280
381,2016,104848
382,2016,32905
383,2016,581309
384,2016,110673
385,2016,49898
386,2016,195786
387,2016,202677
388,2016,248345
389,2016,25776
390,2016,18602
391,2016,17218
392,2016,12875
393,2016,14555
394,2016,192080
395,2016,3328
396,2016,10298
397,2016,89223
398,2016,83656
399,2016,142450
400,2016,20016
401,2016,1246674
402,2016,157188
403,2016,23795
404,2016,58409
405,2016,120215
406,2016,193804
407,2016,243858
408,2016,60874
409,2016,35686
410,2016,76763
411,2016,85553
412,2016,23896
413,2016,199710
414,2016,197439
415,2016,19628
416,2016,33837
417,2016,4416141
418,2016,132760
419,2016,68479
420,2016,123548
421,2016,407676
422,2016,101236
423,2016,392450
424,2016,6897195
425,2016,417831
426,2016,15282
427,2016,24304
428,2016,85876
429,2016,15871
430,2016,102993
431,2016,27152
432,2016,14983
433,2016,120483
434,2016,30566
435,2016,21040
436,2016,166176
437,2016,30588
438,2016,16084
439,2016,47447
440,2016,29849
441,2016,22237
442,2016,17504
443,2016,21979
444,2016,14157
445,2016,81274
446,2016,331949
447,2016,80205
448,2016,16025
449,2016,40806
450,2016,270132
451,2016,69112
